"cost" "thr" "target.size" "theta" "h2" "Ne" "mu" "rho" "b" "gamma" "env.sd" "norm.prev"
"77" 0.25 15171.6360042487 1e+05 0.004 0.5 1000 1e-06 0.0758581800212435 0.848283639957513 2.5 11.3259872992158 0.0165435055749571
"78" 0.28 15171.6360042487 1e+05 0.004 0.5 1000 1e-06 0.0758581800212435 0.848283639957513 2.5 11.3259872992158 0.0144973453703016
"79" 0.31 15171.6360042487 1e+05 0.004 0.5 1000 1e-06 0.0758581800212435 0.848283639957513 2.5 11.3259872992158 0.0128841900604605
"80" 0.34 15171.6360042487 1e+05 0.004 0.5 1000 1e-06 0.0758581800212435 0.848283639957513 2.5 11.3259872992158 0.0115814910473642
"81" 0.37 15171.6360042487 1e+05 0.004 0.5 1000 1e-06 0.0758581800212435 0.848283639957513 2.5 11.3259872992158 0.0105086609216419
"82" 0.4 15171.6360042487 1e+05 0.004 0.5 1000 1e-06 0.0758581800212435 0.848283639957513 2.5 11.3259872992158 0.00961059776421902
"83" 0.43 15171.6360042487 1e+05 0.004 0.5 1000 1e-06 0.0758581800212435 0.848283639957513 2.5 11.3259872992158 0.0088483882179925
"84" 0.46 15171.6360042487 1e+05 0.004 0.5 1000 1e-06 0.0758581800212435 0.848283639957513 2.5 11.3259872992158 0.00819379321811209
"85" 0.49 15171.6360042487 1e+05 0.004 0.5 1000 1e-06 0.0758581800212435 0.848283639957513 2.5 11.3259872992158 0.00762583798989946
"86" 0.52 15171.6360042487 1e+05 0.004 0.5 1000 1e-06 0.0758581800212435 0.848283639957513 2.5 11.3259872992158 0.00712862721743179
"87" 0.55 15171.6360042487 1e+05 0.004 0.5 1000 1e-06 0.0758581800212435 0.848283639957513 2.5 11.3259872992158 0.0066899018160641
"88" 0.58 15171.6360042487 1e+05 0.004 0.5 1000 1e-06 0.0758581800212435 0.848283639957513 2.5 11.3259872992158 0.00630005992584759
"89" 0.61 15171.6360042487 1e+05 0.004 0.5 1000 1e-06 0.0758581800212435 0.848283639957513 2.5 11.3259872992158 0.00595147713139266
"90" 0.64 15171.6360042487 1e+05 0.004 0.5 1000 1e-06 0.0758581800212435 0.848283639957513 2.5 11.3259872992158 0.00563802459763163
"91" 0.67 15171.6360042487 1e+05 0.004 0.5 1000 1e-06 0.0758581800212435 0.848283639957513 2.5 11.3259872992158 0.00535472114516189
"92" 0.7 15171.6360042487 1e+05 0.004 0.5 1000 1e-06 0.0758581800212435 0.848283639957513 2.5 11.3259872992158 0.00509747784430181
"93" 0.73 15171.6360042487 1e+05 0.004 0.5 1000 1e-06 0.0758581800212435 0.848283639957513 2.5 11.3259872992158 0.00486290770427955
"94" 0.76 15171.6360042487 1e+05 0.004 0.5 1000 1e-06 0.0758581800212435 0.848283639957513 2.5 11.3259872992158 0.00464818193188044
"95" 0.79 15171.6360042487 1e+05 0.004 0.5 1000 1e-06 0.0758581800212435 0.848283639957513 2.5 11.3259872992158 0.00445092001436653
"96" 0.82 15171.6360042487 1e+05 0.004 0.5 1000 1e-06 0.0758581800212435 0.848283639957513 2.5 11.3259872992158 0.00426910471150166
"97" 0.85 15171.6360042487 1e+05 0.004 0.5 1000 1e-06 0.0758581800212435 0.848283639957513 2.5 11.3259872992158 0.0041010156251865
"98" 0.88 15171.6360042487 1e+05 0.004 0.5 1000 1e-06 0.0758581800212435 0.848283639957513 2.5 11.3259872992158 0.0039451767870271
"99" 0.91 15171.6360042487 1e+05 0.004 0.5 1000 1e-06 0.0758581800212435 0.848283639957513 2.5 11.3259872992158 0.00380031493772115
"100" 0.94 15171.6360042487 1e+05 0.004 0.5 1000 1e-06 0.0758581800212435 0.848283639957513 2.5 11.3259872992158 0.00366532604302883
"101" 0.97 15171.6360042487 1e+05 0.004 0.5 1000 1e-06 0.0758581800212435 0.848283639957513 2.5 11.3259872992158 0.0035392482139105
"102" 1 15171.6360042487 1e+05 0.004 0.5 1000 1e-06 0.0758581800212435 0.848283639957513 2.5 11.3259872992158 0.00342123964917962
