as Ls bs rhos al Ll bl rhol bt rhot Ne u C Ve maxG bigU thr
1 9977173.56860603 0.148055314308059 0.42597234284597 83.1178856444578 275 1 0 0.15 0.425 1000 1e-08 0.65 397.060086074586 20000061.9743165 0.0300000929614748 8500001
1 9977173.56860603 0.148055314308059 0.42597234284597 83.1178856444578 275 1 0 0.15 0.425 1000 1e-08 0.71 397.060086074586 20000061.9743165 0.0300000929614748 8500001
1 9977173.56860603 0.148055314308059 0.42597234284597 83.1178856444578 275 1 0 0.15 0.425 1000 1e-08 0.77 397.060086074586 20000061.9743165 0.0300000929614748 8500001
1 9977173.56860603 0.148055314308059 0.42597234284597 83.1178856444578 275 1 0 0.15 0.425 1000 1e-08 0.83 397.060086074586 20000061.9743165 0.0300000929614748 8500001
1 9977173.56860603 0.148055314308059 0.42597234284597 83.1178856444578 275 1 0 0.15 0.425 1000 1e-08 0.89 397.060086074586 20000061.9743165 0.0300000929614748 8500001
1 9977173.56860603 0.148055314308059 0.42597234284597 83.1178856444578 275 1 0 0.15 0.425 1000 1e-08 0.95 397.060086074586 20000061.9743165 0.0300000929614748 8500001
1 9977173.56860603 0.148055314308059 0.42597234284597 83.1178856444578 275 1 0 0.15 0.425 1000 1e-08 1 397.060086074586 20000061.9743165 0.0300000929614748 8500001
1 9980691.90015883 0.148355636560154 0.425822181719923 97.8704654329918 197 1 0 0.15 0.425 1000 1e-08 0.05 397.048028010781 19999944.7636983 0.0299999171455474 8500001
1 9980691.90015883 0.148355636560154 0.425822181719923 97.8704654329918 197 1 0 0.15 0.425 1000 1e-08 0.11 397.048028010781 19999944.7636983 0.0299999171455474 8500001
1 9980691.90015883 0.148355636560154 0.425822181719923 97.8704654329918 197 1 0 0.15 0.425 1000 1e-08 0.17 397.048028010781 19999944.7636983 0.0299999171455474 8500001
1 9980691.90015883 0.148355636560154 0.425822181719923 97.8704654329918 197 1 0 0.15 0.425 1000 1e-08 0.23 397.048028010781 19999944.7636983 0.0299999171455474 8500001
1 9980691.90015883 0.148355636560154 0.425822181719923 97.8704654329918 197 1 0 0.15 0.425 1000 1e-08 0.29 397.048028010781 19999944.7636983 0.0299999171455474 8500001
1 9980691.90015883 0.148355636560154 0.425822181719923 97.8704654329918 197 1 0 0.15 0.425 1000 1e-08 0.35 397.048028010781 19999944.7636983 0.0299999171455474 8500001
1 9980691.90015883 0.148355636560154 0.425822181719923 97.8704654329918 197 1 0 0.15 0.425 1000 1e-08 0.41 397.048028010781 19999944.7636983 0.0299999171455474 8500001
1 9980691.90015883 0.148355636560154 0.425822181719923 97.8704654329918 197 1 0 0.15 0.425 1000 1e-08 0.47 397.048028010781 19999944.7636983 0.0299999171455474 8500001
1 9980691.90015883 0.148355636560154 0.425822181719923 97.8704654329918 197 1 0 0.15 0.425 1000 1e-08 0.53 397.048028010781 19999944.7636983 0.0299999171455474 8500001
1 9980691.90015883 0.148355636560154 0.425822181719923 97.8704654329918 197 1 0 0.15 0.425 1000 1e-08 0.59 397.048028010781 19999944.7636983 0.0299999171455474 8500001
1 9980691.90015883 0.148355636560154 0.425822181719923 97.8704654329918 197 1 0 0.15 0.425 1000 1e-08 0.65 397.048028010781 19999944.7636983 0.0299999171455474 8500001
1 9980691.90015883 0.148355636560154 0.425822181719923 97.8704654329918 197 1 0 0.15 0.425 1000 1e-08 0.71 397.048028010781 19999944.7636983 0.0299999171455474 8500001
1 9980691.90015883 0.148355636560154 0.425822181719923 97.8704654329918 197 1 0 0.15 0.425 1000 1e-08 0.77 397.048028010781 19999944.7636983 0.0299999171455474 8500001
1 9980691.90015883 0.148355636560154 0.425822181719923 97.8704654329918 197 1 0 0.15 0.425 1000 1e-08 0.83 397.048028010781 19999944.7636983 0.0299999171455474 8500001
1 9980691.90015883 0.148355636560154 0.425822181719923 97.8704654329918 197 1 0 0.15 0.425 1000 1e-08 0.89 397.048028010781 19999944.7636983 0.0299999171455474 8500001
1 9980691.90015883 0.148355636560154 0.425822181719923 97.8704654329918 197 1 0 0.15 0.425 1000 1e-08 0.95 397.048028010781 19999944.7636983 0.0299999171455474 8500001
1 9980691.90015883 0.148355636560154 0.425822181719923 97.8704654329918 197 1 0 0.15 0.425 1000 1e-08 1 397.048028010781 19999944.7636983 0.0299999171455474 8500001
1 9981652.47590455 0.148437593823389 0.425781203088305 119.29024277129 154 1 0 0.15 0.425 1000 1e-08 0.05 397.044697426955 20000046.3465827 0.030000069519874 8500001.00000001
1 9981652.47590455 0.148437593823389 0.425781203088305 119.29024277129 154 1 0 0.15 0.425 1000 1e-08 0.11 397.044697426955 20000046.3465827 0.030000069519874 8500001.00000001
1 9981652.47590455 0.148437593823389 0.425781203088305 119.29024277129 154 1 0 0.15 0.425 1000 1e-08 0.17 397.044697426955 20000046.3465827 0.030000069519874 8500001.00000001
1 9981652.47590455 0.148437593823389 0.425781203088305 119.29024277129 154 1 0 0.15 0.425 1000 1e-08 0.23 397.044697426955 20000046.3465827 0.030000069519874 8500001.00000001
1 9981652.47590455 0.148437593823389 0.425781203088305 119.29024277129 154 1 0 0.15 0.425 1000 1e-08 0.29 397.044697426955 20000046.3465827 0.030000069519874 8500001.00000001
1 9981652.47590455 0.148437593823389 0.425781203088305 119.29024277129 154 1 0 0.15 0.425 1000 1e-08 0.35 397.044697426955 20000046.3465827 0.030000069519874 8500001.00000001
1 9981652.47590455 0.148437593823389 0.425781203088305 119.29024277129 154 1 0 0.15 0.425 1000 1e-08 0.41 397.044697426955 20000046.3465827 0.030000069519874 8500001.00000001
1 9981652.47590455 0.148437593823389 0.425781203088305 119.29024277129 154 1 0 0.15 0.425 1000 1e-08 0.47 397.044697426955 20000046.3465827 0.030000069519874 8500001.00000001
1 9981652.47590455 0.148437593823389 0.425781203088305 119.29024277129 154 1 0 0.15 0.425 1000 1e-08 0.53 397.044697426955 20000046.3465827 0.030000069519874 8500001.00000001
1 9981652.47590455 0.148437593823389 0.425781203088305 119.29024277129 154 1 0 0.15 0.425 1000 1e-08 0.59 397.044697426955 20000046.3465827 0.030000069519874 8500001.00000001
1 9981652.47590455 0.148437593823389 0.425781203088305 119.29024277129 154 1 0 0.15 0.425 1000 1e-08 0.65 397.044697426955 20000046.3465827 0.030000069519874 8500001.00000001
1 9981652.47590455 0.148437593823389 0.425781203088305 119.29024277129 154 1 0 0.15 0.425 1000 1e-08 0.71 397.044697426955 20000046.3465827 0.030000069519874 8500001.00000001
1 9981652.47590455 0.148437593823389 0.425781203088305 119.29024277129 154 1 0 0.15 0.425 1000 1e-08 0.77 397.044697426955 20000046.3465827 0.030000069519874 8500001.00000001
1 9981652.47590455 0.148437593823389 0.425781203088305 119.29024277129 154 1 0 0.15 0.425 1000 1e-08 0.83 397.044697426955 20000046.3465827 0.030000069519874 8500001.00000001
1 9981652.47590455 0.148437593823389 0.425781203088305 119.29024277129 154 1 0 0.15 0.425 1000 1e-08 0.89 397.044697426955 20000046.3465827 0.030000069519874 8500001.00000001
1 9981652.47590455 0.148437593823389 0.425781203088305 119.29024277129 154 1 0 0.15 0.425 1000 1e-08 0.95 397.044697426955 20000046.3465827 0.030000069519874 8500001.00000001
1 9981652.47590455 0.148437593823389 0.425781203088305 119.29024277129 154 1 0 0.15 0.425 1000 1e-08 1 397.044697426955 20000046.3465827 0.030000069519874 8500001.00000001
1 9510014.0169122 0.474238419511475 0.262880790244263 34.3568806019523 14262 1 0 0.500000000000022 0.249999999999989 1000 1e-08 0.05 367.969731211309 20000023.6961145 0.100000118480572 5000000.99999978
1 9510014.0169122 0.474238419511475 0.262880790244263 34.3568806019523 14262 1 0 0.500000000000022 0.249999999999989 1000 1e-08 0.11 367.969731211309 20000023.6961145 0.100000118480572 5000000.99999978
1 9510014.0169122 0.474238419511475 0.262880790244263 34.3568806019523 14262 1 0 0.500000000000022 0.249999999999989 1000 1e-08 0.17 367.969731211309 20000023.6961145 0.100000118480572 5000000.99999978
1 9510014.0169122 0.474238419511475 0.262880790244263 34.3568806019523 14262 1 0 0.500000000000022 0.249999999999989 1000 1e-08 0.23 367.969731211309 20000023.6961145 0.100000118480572 5000000.99999978
1 9510014.0169122 0.474238419511475 0.262880790244263 34.3568806019523 14262 1 0 0.500000000000022 0.249999999999989 1000 1e-08 0.29 367.969731211309 20000023.6961145 0.100000118480572 5000000.99999978
1 9510014.0169122 0.474238419511475 0.262880790244263 34.3568806019523 14262 1 0 0.500000000000022 0.249999999999989 1000 1e-08 0.35 367.969731211309 20000023.6961145 0.100000118480572 5000000.99999978
1 9510014.0169122 0.474238419511475 0.262880790244263 34.3568806019523 14262 1 0 0.500000000000022 0.249999999999989 1000 1e-08 0.41 367.969731211309 20000023.6961145 0.100000118480572 5000000.99999978
1 9510014.0169122 0.474238419511475 0.262880790244263 34.3568806019523 14262 1 0 0.500000000000022 0.249999999999989 1000 1e-08 0.47 367.969731211309 20000023.6961145 0.100000118480572 5000000.99999978
1 9510014.0169122 0.474238419511475 0.262880790244263 34.3568806019523 14262 1 0 0.500000000000022 0.249999999999989 1000 1e-08 0.53 367.969731211309 20000023.6961145 0.100000118480572 5000000.99999978
1 9510014.0169122 0.474238419511475 0.262880790244263 34.3568806019523 14262 1 0 0.500000000000022 0.249999999999989 1000 1e-08 0.59 367.969731211309 20000023.6961145 0.100000118480572 5000000.99999978
1 9510014.0169122 0.474238419511475 0.262880790244263 34.3568806019523 14262 1 0 0.500000000000022 0.249999999999989 1000 1e-08 0.65 367.969731211309 20000023.6961145 0.100000118480572 5000000.99999978
1 9510014.0169122 0.474238419511475 0.262880790244263 34.3568806019523 14262 1 0 0.500000000000022 0.249999999999989 1000 1e-08 0.71 367.969731211309 20000023.6961145 0.100000118480572 5000000.99999978
1 9510014.0169122 0.474238419511475 0.262880790244263 34.3568806019523 14262 1 0 0.500000000000022 0.249999999999989 1000 1e-08 0.77 367.969731211309 20000023.6961145 0.100000118480572 5000000.99999978
